426055,567413
426058,566913
426061,566413
426064,565913
426067,565414
426070,564914
426073,564414
426076,563914
426078,563414
426081,562914
425766,567411
425768,566911
425771,566412
425774,565912
425777,565412
425780,564912
425783,564412
425786,563912
425789,563413
425791,562913
425476,567410
425479,566910
425482,566410
425484,565910
425487,565410
425490,564910
425493,564411
425496,563911
425499,563411
425501,562911
425186,567408
425189,566908
425192,566408
425195,565908
425198,565409
425200,564909
425203,564409
425206,563909
425209,563409
425212,562909
424897,567406
424899,566907
424902,566407
424905,565907
424908,565407
424910,564907
424913,564407
424916,563907
424919,563408
424922,562908
424607,567405
424610,566905
424612,566405
424615,565905
424618,565405
424621,564906
424623,564406
424626,563906
424629,563406
424632,562906
424317,567403
424320,566903
424323,566404
424325,565904
424328,565404
424331,564904
424334,564404
424336,563904
424339,563404
424342,562905
424028,567402
424030,566902
424033,566402
424036,565902
424038,565402
424041,564902
424044,564403
424046,563903
424049,563403
424052,562903
423738,567400
423741,566900
423743,566400
423746,565901
423749,565401
423751,564901
423754,564401
423756,563901
423759,563401
423762,562902
423448,567399
423451,566899
423454,566399
423456,565899
423459,565399
423461,564899
423464,564400
423467,563900
423469,563400
423472,562900
